Spanish,English
Lunes,Monday
Martes,Tuesday
Sabado,Saturday
Jueves,Thursday
Miércoles ,Wednesday
Viernes ,Friday
Domingo,Sunday
grande,great
así,So
pasar,spend
cosa,stuff
desde,since
deber,have to
ella,she
pues,well
entonces,then
llegar,get
poco,little bit
nuestro,our
bien,right
ni,neither
tiempo,weather
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,let
nada,any
tanto,so much
parecer,look
hablar,speak
poner,put
parte,part
eh,Hey
nuevo,new
sólo,single
siempre,forever
hombre,men
bueno,Okay
seguir,continue
quedar,stay
llevar,wear
encontrar,find
bueno,Okay
tan,so
pensar,to think
casa,House
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,leave
después,after
mejor,better
menos,less
venir,to come
forma,form
mujer,woman
momento,moment
llamar,to call
mundo,world
claro,Sure
mirar,look at
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,though
quien,who
tomar,drink
tres,three
mano,hand
sentir,feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,treat
vivir,to live
sino,otherwise
lugar,place
problema,issue
hacia,towards
presidente,President
cual,which
junto,together
luego,later
cómo,What
trabajo,worked
caso,case
mayor,elderly
además,what's more
acercar,zoom in
esperar,expect
nunca,never
cierto,certain
hora,hour
dónde,where
padre,dad
gustar,like
noche,night
nosotros,us
